X..Loci.Detected,Index,Sample.ID,Sample.Group,Sentrix.Barcode,Sample.Section,Detected.CpG..0.01.,Detected.CpG..0.05.,Signal.Average.GRN,Signal.Average.RED,Signal.P05.GRN,Signal.P05.RED,Signal.P25.GRN,Signal.P25.RED,Signal.P50.GRN,Signal.P50.RED,Signal.P75.GRN,Signal.P75.RED,Signal.P95.GRN,Signal.P95.RED,Sample_Well,Sample_Plate,Pool_ID
99.95369,1,NA10858_1,Default Group,2.04385E+11,R01C01,865382,865517,2746.444,4120.545,164,239,483,1039,1883,2931,4498,6461,7878,11457,Tube,Tube,NA
99.96085,2,4bba7d40c0df4b74,Default Group,2.04385E+11,R02C01,865265,865579,3245.015,4003.908,253,331,720,852,2352,2076,5214,5788,8916,13569,B01,Nair2_Sample_010,NA
99.95207,3,9148e4612a6c5ac1,Default Group,2.04385E+11,R03C01,865271,865503,3610.248,4417.361,293,378,822,961,2666,2314,5793,6408,9779,14834,C01,Nair2_Sample_010,NA
99.91489,4,799c9f6318909736,Default Group,2.04385E+11,R04C01,865037,865181,3538.586,4357.104,244,335,771,906,2634,2232,5691,6305,9621,14861,D01,Nair2_Sample_010,NA
99.91235,5,097b86481a484a4b,Default Group,2.04385E+11,R05C01,864534,865159,3702.557,4561.358,272,366,837,941,2647,2308,5866,6510,10364,15781,E01,Nair2_Sample_010,NA
99.91003,6,62b26ee7a6c28016,Default Group,2.04385E+11,R06C01,863783,865139,3601.345,4596.156,247,346,782,867,2484,2169,5703,6437,10342,16560,F01,Nair2_Sample_010,NA
99.90311,7,2aebbfdabd0baa34,Default Group,2.04385E+11,R07C01,864067,865079,3739.846,4949.668,290,414,842,1003,2724,2415,5963,7043,10299,17337,G01,Nair2_Sample_010,NA
99.92251,8,ae4098e54731929a,Default Group,2.04385E+11,R08C01,864884,865247,3545.818,4545.476,268,359,789,881,2540,2149,5638,6386,9897,16268,H01,Nair2_Sample_010,NA
99.92471,9,90fda037cc32c51b,Default Group,2.04392E+11,R01C01,864894,865266,2816.232,3799.707,161,267,569,707,1889,1816,4501,5316,8225,13693,A02,Nair2_Sample_010,NA
99.95023,10,c5111c710dcd7b9b,Default Group,2.04392E+11,R02C01,865055,865487,3223.743,4176.773,217,330,677,872,2347,2140,5176,5994,8931,14329,B02,Nair2_Sample_010,NA
99.95311,11,567145eff557d2d1,Default Group,2.04392E+11,R03C01,865133,865512,3401.677,4112.649,215,305,704,837,2479,2090,5478,5914,9434,14201,C02,Nair2_Sample_010,NA
99.9299,12,eeb0b16b19fcde29,Default Group,2.04392E+11,R04C01,865105,865311,3750.285,4397.982,244,338,794,936,2799,2296,6040,6333,10231,14964,D02,Nair2_Sample_010,NA
99.89895,13,44a4abb1594383cc,Default Group,2.04392E+11,R05C01,864426,865043,3765.533,4619.7,267,389,810,984,2773,2341,6025,6543,10361,15994,E02,Nair2_Sample_010,NA
99.91904,14,43fd32ff13c55e5c,Default Group,2.04392E+11,R06C01,864737,865217,3550.035,4782.349,259,384,790,1014,2549,2499,5618,6839,9949,16370,F02,Nair2_Sample_010,NA
99.89526,15,e5de7e4c1d7ffad9,Default Group,2.04392E+11,R07C01,863722,865011,3814.669,5177.888,298,449,879,1148,2740,2780,6031,7460,10623,17377,G02,Nair2_Sample_010,NA
99.90253,16,d66f524890a1e3ba,Default Group,2.04392E+11,R08C01,863313,865074,3603.591,5108.438,261,416,782,1012,2499,2465,5730,7147,10269,18215,H02,Nair2_Sample_010,NA
99.92216,17,bf30dba141229e75,Default Group,2.04379E+11,R01C01,864929,865244,2941.165,3858.274,178,283,602,769,2123,1941,4777,5543,8147,13348,A03,Nair2_Sample_010,NA
99.91443,18,606043e01c10f683,Default Group,2.04379E+11,R02C01,864901,865177,3490.958,4169.93,282,370,801,925,2552,2208,5603,5994,9497,14003,B03,Nair2_Sample_010,NA
99.90137,19,17599f3e6e21194f,Default Group,2.04379E+11,R03C01,864490,865064,3913.844,4549.759,334,405,910,1028,2915,2454,6284,6594,10503,15085,C03,Nair2_Sample_010,NA
99.90668,20,f89744d4b0a24b9d,Default Group,2.04379E+11,R04C01,864745,865110,3850.665,4504.314,276,353,854,932,2816,2302,6188,6476,10551,15452,D03,Nair2_Sample_010,NA
99.89341,21,deae212aa5496087,Default Group,2.04379E+11,R05C01,864263,864995,4013.698,4683.684,318,404,916,987,2925,2365,6424,6673,10977,16143,E03,Nair2_Sample_010,NA
99.94168,22,d412428e2a376d3a,Default Group,2.04379E+11,R06C01,865068,865413,3881.822,4747.164,285,369,851,945,2792,2334,6269,6794,10691,16553,F03,Nair2_Sample_010,NA
99.93464,23,22adc9d606e106d0,Default Group,2.04379E+11,R07C01,865076,865352,4172.234,5090.792,329,438,918,1057,3047,2528,6723,7333,11402,17536,G03,Nair2_Sample_010,NA
99.88683,24,27c28320141ad631,Default Group,2.04379E+11,R08C01,864667,864938,3784.472,5134.237,255,372,820,1020,2659,2622,6058,7469,10668,17603,H03,Nair2_Sample_010,NA
99.9381,25,d3e22791c355d928,Default Group,2.04385E+11,R01C01,865165,865382,2757.95,3718.666,146,233,550,751,1950,1996,4455,5489,7808,12442,A04,Nair2_Sample_010,NA
99.95323,26,3fe5f6a7eed957d6,Default Group,2.04385E+11,R02C01,865365,865513,3306.681,4151.328,205,279,672,845,2431,2164,5369,6071,9082,14049,B04,Nair2_Sample_010,NA
99.94746,27,b4c136ba281dd2b7,Default Group,2.04385E+11,R03C01,865322,865463,3511.073,4331.963,204,290,685,915,2717,2330,5765,6453,9340,14302,C04,Nair2_Sample_010,NA
99.91165,28,3a5e2216b674b891,Default Group,2.04385E+11,R04C01,865021,865153,3469.211,4351.874,198,292,664,890,2665,2259,5661,6402,9335,14695,D04,Nair2_Sample_010,NA
99.91235,29,39582128fb977ba0,Default Group,2.04385E+11,R05C01,864875,865159,3444.293,4520.622,194,295,672,902,2613,2317,5630,6638,9302,15381,E04,Nair2_Sample_010,NA
99.90634,30,7981ffe54b851a8a,Default Group,2.04385E+11,R06C01,864786,865107,3479.928,4584.491,201,306,675,897,2696,2256,5703,6677,9272,15881,F04,Nair2_Sample_010,NA
99.91257,31,2bb9c9baab83c7c4,Default Group,2.04385E+11,R07C01,864782,865161,3415.297,4622.699,224,332,707,883,2473,2214,5520,6553,9464,16438,G04,Nair2_Sample_010,NA
99.93799,32,48dc18ca3be557ad,Default Group,2.04385E+11,R08C01,864959,865381,3202.507,4639.724,216,331,663,879,2206,2262,5132,6648,9150,16329,H04,Nair2_Sample_010,NA
99.95081,33,807702508f06e299,Default Group,2.04375E+11,R01C01,864672,865492,2632.686,3740.258,151,259,556,798,1897,2051,4243,5447,7335,12477,A05,Nair2_Sample_010,NA
99.85773,34,e3b1e4197e68be84,Default Group,2.04375E+11,R02C01,861287,864686,2769.846,3808.896,175,259,599,761,1871,1997,4439,5433,7944,13169,B05,Nair2_Sample_010,NA
99.909,35,ee10cbfc4ca84d21,Default Group,2.04375E+11,R03C01,864398,865130,3126.704,3895.323,194,279,676,824,2340,2069,5038,5619,8494,13218,C05,Nair2_Sample_010,NA
99.93891,36,317dab45ebacf6ae,Default Group,2.04375E+11,R04C01,863624,865389,3315.31,4202.359,226,308,725,850,2347,2142,5315,5986,9279,14606,D05,Nair2_Sample_010,NA
99.92459,37,09e2245dec474cbd,Default Group,2.04375E+11,R05C01,862415,865265,3362.3,4286.432,232,314,736,847,2314,2153,5365,6067,9588,15052,E05,Nair2_Sample_010,NA
99.88914,38,82307e0e982360f5,Default Group,2.04375E+11,R06C01,861924,864958,3459.353,4310.404,233,323,763,873,2502,2169,5532,6091,9601,15103,F05,Nair2_Sample_010,NA
99.86246,39,b740c2621275c9e0,Default Group,2.04375E+11,R07C01,862123,864727,3465.791,4354.625,247,329,780,848,2415,2109,5501,6044,9822,15660,G05,Nair2_Sample_010,NA
99.90877,40,5b3c0236482dd7dd,Default Group,2.04375E+11,R08C01,863561,865128,3462.282,4533.981,250,354,782,965,2514,2388,5505,6482,9589,15492,H05,Nair2_Sample_010,NA
99.94872,41,dbe393cd5b35cb9b,Default Group,2.04385E+11,R01C01,865031,865474,2809.643,3696.187,147,237,557,724,1986,1907,4567,5364,7912,12669,A06,Nair2_Sample_010,NA
99.93521,42,8006fd99c479b14d,Default Group,2.04385E+11,R02C01,864674,865357,3331.521,4056.127,260,343,750,843,2398,2045,5368,5774,9147,14017,B06,Nair2_Sample_010,NA
99.95173,43,82f5be4561bce860,Default Group,2.04385E+11,R03C01,865101,865500,3817.362,4392.646,289,375,831,975,3088,2281,6212,6436,9774,14663,C06,Nair2_Sample_010,NA
99.94757,44,2d27b12b85ad815d,Default Group,2.04385E+11,R04C01,864924,865464,3439.514,4354.124,234,324,733,855,2408,2165,5559,6221,9637,15204,D06,Nair2_Sample_010,NA
99.93394,45,cc72f9ceffbf484b,Default Group,2.04385E+11,R05C01,864940,865346,3613.381,4527.346,246,345,777,914,2613,2284,5837,6495,9963,15662,E06,Nair2_Sample_010,NA
99.9366,46,cac8fea061cd74db,Default Group,2.04385E+11,R06C01,864759,865369,3712.509,4689.311,244,344,788,917,2728,2297,6033,6696,10124,16439,F06,Nair2_Sample_010,NA
99.91985,47,d4ea0917bd62318b,Default Group,2.04385E+11,R07C01,863921,865224,3683.175,4973.754,287,413,830,986,2605,2409,5916,6975,10212,17622,G06,Nair2_Sample_010,NA
99.8941,48,1c823851c439df86,Default Group,2.04385E+11,R08C01,864514,865001,3473.445,4860.516,246,376,775,986,2474,2466,5547,6928,9693,16878,H06,Nair2_Sample_010,NA
99.92355,49,NA10859_1,Default Group,2.04392E+11,R01C01,865051,865256,2518.361,4010.369,153,219,403,943,1584,2796,4201,6387,7433,11244,Tube,Tube,NA
99.92944,50,f1ca5e641c42b372,Default Group,2.04392E+11,R02C01,864969,865307,2964.262,3786.027,205,292,623,768,2069,1915,4735,5367,8423,13198,B07,Nair2_Sample_010,NA
99.94965,51,b4ab67c9f3be07e9,Default Group,2.04392E+11,R03C01,865179,865482,3137.769,4082.26,230,314,675,823,2128,2086,4993,5815,9029,14165,C07,Nair2_Sample_010,NA
99.94503,52,4ebfd166d1d9a1bf,Default Group,2.04392E+11,R04C01,864979,865442,3210.345,4132.326,212,298,665,792,2147,2045,5140,5845,9313,14606,D07,Nair2_Sample_010,NA
99.91789,53,7b2de653d6a71f51,Default Group,2.04392E+11,R05C01,864672,865207,3356.33,4359.977,242,352,717,878,2326,2167,5386,6151,9502,15296,E07,Nair2_Sample_010,NA
99.9202,54,5445bb347edaf8af,Default Group,2.04392E+11,R06C01,864788,865227,3335.516,4395.433,223,328,681,833,2263,2101,5364,6179,9587,15730,F07,Nair2_Sample_010,NA
99.94769,55,27df9cb0c8e86655,Default Group,2.04392E+11,R07C01,865150,865465,3462.506,4616.644,243,366,728,923,2428,2295,5568,6564,9752,16138,G07,Nair2_Sample_010,NA
99.92886,56,52fbd22b8130469c,Default Group,2.04392E+11,R08C01,864911,865302,3230.706,4588.327,221,352,671,878,2219,2204,5179,6454,9237,16385,H07,Nair2_Sample_010,NA
99.91974,57,990cfcef4579b25e,Default Group,2.04375E+11,R01C01,864476,865223,2660.581,3824.708,136,230,536,732,1844,1962,4298,5545,7599,13210,A08,Nair2_Sample_010,NA
99.91108,58,5348bc378480477a,Default Group,2.04375E+11,R02C01,864188,865148,2948.215,4231.211,191,305,631,885,2128,2247,4755,6159,8165,14240,B08,Nair2_Sample_010,NA
99.93163,59,558005b5df7b29dd,Default Group,2.04375E+11,R03C01,864080,865326,3002.471,4350.704,210,315,650,845,2032,2174,4806,6187,8605,15234,C08,Nair2_Sample_010,NA
99.91754,60,f46ebd5e7152a144,Default Group,2.04375E+11,R04C01,863951,865204,3290.57,4545.268,241,341,725,888,2217,2269,5254,6471,9436,15905,D08,Nair2_Sample_010,NA
99.8829,61,667fc7f3dfaa4e68,Default Group,2.04375E+11,R05C01,863732,864904,3500.046,4731.502,266,375,810,1032,2496,2589,5562,6894,9740,15710,E08,Nair2_Sample_010,NA
99.87389,62,6325cf22a5f845b4,Default Group,2.04375E+11,R06C01,863983,864826,3396.394,4866.875,254,364,780,1017,2392,2593,5383,7038,9546,16491,F08,Nair2_Sample_010,NA
99.8941,63,d39a59a15d96a5c4,Default Group,2.04375E+11,R07C01,863334,865001,3482.379,4866.304,293,406,805,960,2297,2370,5507,6768,10064,17349,G08,Nair2_Sample_010,NA
99.88925,64,1a03f4dd2c1bccfc,Default Group,2.04375E+11,R08C01,864069,864959,3341.715,4867.848,269,383,760,925,2224,2308,5283,6723,9657,17638,H08,Nair2_Sample_010,NA
99.956,65,06ebc8ca0b23a91c,Default Group,2.04385E+11,R01C01,865199,865537,2802.871,3710.792,148,239,558,686,1882,1819,4491,5255,8187,13186,A09,Nair2_Sample_010,NA
99.94272,66,82810f7232a6c3aa,Default Group,2.04385E+11,R02C01,865009,865422,3118.979,4172.14,183,277,639,795,2128,2085,5007,5949,8973,14646,B09,Nair2_Sample_010,NA
99.91547,67,85da796ac5d5619a,Default Group,2.04385E+11,R03C01,864646,865186,3380.008,4298.552,195,288,682,809,2278,2129,5449,6182,9765,15053,C09,Nair2_Sample_010,NA
99.90207,68,d5f7a4877f0af5ce,Default Group,2.04385E+11,R04C01,864653,865070,3686.172,4508.03,196,296,729,862,2588,2258,5982,6539,10426,15630,D09,Nair2_Sample_010,NA
99.91154,69,625a2cf6f24bd57b,Default Group,2.04385E+11,R05C01,864866,865152,3453.638,4206.139,169,253,663,743,2374,1978,5596,5965,9926,15176,E09,Nair2_Sample_010,NA
99.89757,70,ddc723397bde4933,Default Group,2.04385E+11,R06C01,864455,865031,3786.386,4881.52,218,339,766,960,2775,2436,6180,7041,10389,16921,F09,Nair2_Sample_010,NA
99.93568,71,b617449b25a9e9f9,Default Group,2.04385E+11,R07C01,865112,865361,3609.212,4996.11,218,348,726,941,2507,2423,5831,7134,10265,17660,G09,Nair2_Sample_010,NA
99.92851,72,b73fa2148d068785,Default Group,2.04385E+11,R08C01,865012,865299,3624.368,4866.712,217,349,719,895,2466,2276,5819,6832,10494,17599,H09,Nair2_Sample_010,NA
99.95692,73,cca918938290c6c4,Default Group,2.04375E+11,R01C01,865325,865545,2506.372,3648.903,136,227,486,672,1702,1802,4055,5254,7239,12788,A10,Nair2_Sample_010,NA
99.95762,74,b3d9116f055635c0,Default Group,2.04375E+11,R02C01,865238,865551,2863.26,4043.166,195,307,589,835,2108,2074,4628,5816,7865,13850,B10,Nair2_Sample_010,NA
99.91419,75,022fba0650a3ebfb,Default Group,2.04375E+11,R03C01,864956,865175,3209.724,4134.936,227,317,682,886,2409,2197,5205,6048,8652,13799,C10,Nair2_Sample_010,NA
99.91396,76,711e5da1af21f6e1,Default Group,2.04375E+11,R04C01,864844,865173,3200.274,4090.709,227,313,680,821,2219,2071,5135,5857,9073,14155,D10,Nair2_Sample_010,NA
99.94791,77,01b06ec643764808,Default Group,2.04375E+11,R05C01,865212,865467,3571.053,4324.241,259,351,733,918,2724,2215,5814,6295,9546,14633,E10,Nair2_Sample_010,NA
99.93845,78,e2fb14be2024a655,Default Group,2.04375E+11,R06C01,864340,865385,3217.503,4095.135,235,306,681,742,2045,1925,5136,5741,9510,14777,F10,Nair2_Sample_010,NA
99.9277,79,55af932d58b5a195,Default Group,2.04375E+11,R07C01,864754,865292,3402.348,4297.1,257,348,732,813,2263,2018,5437,5963,9824,15518,G10,Nair2_Sample_010,NA
99.93591,80,8b21836cef488ed1,Default Group,2.04375E+11,R08C01,865120,865363,3646.957,4323.018,236,320,740,828,2634,2079,5916,6160,10112,15270,H10,Nair2_Sample_010,NA
99.91916,81,00b73ff8eeec2e48,Default Group,2.04848E+11,R01C01,864972,865218,2629.873,3837.068,168,286,557,788,1971,1971,4278,5548,7098,13100,A11,Nair2_Sample_010,NA
99.91246,82,5535993a62a3bb42,Default Group,2.04848E+11,R02C01,864526,865160,2973.907,4083.892,236,352,684,874,2146,2111,4772,5811,8151,13975,B11,Nair2_Sample_010,NA
99.86789,83,4d291ae33a0178a3,Default Group,2.04848E+11,R03C01,862648,864774,3192.638,4184.054,262,344,744,821,2076,2069,5045,5862,9278,14788,C11,Nair2_Sample_010,NA
99.90045,84,9e43385c6bb95ec2,Default Group,2.04848E+11,R04C01,864638,865056,3524.258,4376.887,241,336,767,904,2619,2243,5709,6327,9538,14951,D11,Nair2_Sample_010,NA
99.91962,85,78020b9b44014f21,Default Group,2.04848E+11,R05C01,864511,865222,3475.056,4515.186,268,374,786,918,2394,2265,5557,6410,9812,15700,E11,Nair2_Sample_010,NA
99.93487,86,acaf48b93a80e65f,Default Group,2.04848E+11,R06C01,865020,865354,3168.558,4410.488,231,340,700,877,2234,2196,5091,6269,8847,15428,F11,Nair2_Sample_010,NA
99.89491,87,1d7f4c33157febae,Default Group,2.04848E+11,R07C01,864437,865008,3407.828,4511.324,266,390,769,932,2539,2211,5480,6362,9199,15819,G11,Nair2_Sample_010,NA
99.90877,88,88488d2a1cd478ca,Default Group,2.04848E+11,R08C01,864479,865128,3061.646,4193.595,218,327,674,772,2052,1918,4864,5736,8846,15446,H11,Nair2_Sample_010,NA
99.92343,89,a95e8a825fbb7357,Default Group,2.04848E+11,R01C01,864955,865255,2529.916,3566.701,122,216,476,653,1717,1755,4076,5108,7378,12587,A12,Nair2_Sample_010,NA
99.92597,90,0a5fbe30e28530ab,Default Group,2.04848E+11,R02C01,864869,865277,3068.123,3802.876,170,258,601,733,2166,1896,4965,5473,8691,13238,B12,Nair2_Sample_010,NA
99.91547,91,9fd52bd6bfecf1b5,Default Group,2.04848E+11,R03C01,864911,865186,3352.572,4144.374,193,282,678,807,2346,2094,5416,5975,9504,14361,C12,Nair2_Sample_010,NA
99.91431,92,d1294213c72bc0e2,Default Group,2.04848E+11,R04C01,864877,865176,3357.472,4330.983,198,295,683,836,2336,2165,5419,6232,9542,15085,D12,Nair2_Sample_010,NA
99.9187,93,8e1c528abf2c8ba8,Default Group,2.04848E+11,R05C01,864514,865214,3317.912,4375.527,219,315,699,837,2216,2167,5294,6229,9649,15391,E12,Nair2_Sample_010,NA
99.91778,94,aed27797b0521cd5,Default Group,2.04848E+11,R06C01,864851,865206,3383.776,4478.685,211,305,698,844,2292,2209,5436,6411,9744,15750,F12,Nair2_Sample_010,NA
99.92493,95,9c95f8f81ab14f16,Default Group,2.04848E+11,R07C01,864976,865268,3342.448,4630.25,223,326,709,844,2201,2185,5316,6536,9790,16617,G12,Nair2_Sample_010,NA
